Name,Addr,subway,distSubway
이디야커피 신상도초교점,동작구,상도역 7호선,0.8582075368138228
이디야커피 북창동점,중구,시청역 2호선,0.18117992084857054
이디야커피 홍익대점,마포구,홍대입구역 2호선,0.3350566898976951
이디야커피 용산효창점,용산구,효창공원앞역 6호선,0.15143305605662116
이디야커피 석촌백제점,송파구,석촌역 8호선,0.15536781715999007
이디야커피 대림역점,영등포구,대림역 7호선 12번출구,0.06510232514853728
이디야커피 약수역점,중구,약수역 3호선,0.04626266329641207
이디야커피 석계중앙점,성북구,석계역 1호선,0.3505392712427531
이디야커피 명동역점,중구,명동역 4호선,0.1896768652914533
이디야커피 영등포중앙점,영등포구,영등포시장역 5호선,0.37656629759434174
이디야커피 사당점,동작구,구반포역 9호선,0.656911885415597
이디야커피 고척스카이돔점,구로구,개봉역 1호선,0.5681087139184978
이디야커피 삼성동점,강남구,석촌고분역 9호선,0.28294714557078965
이디야커피 선릉역점,강남구,삼성중앙역 9호선,0.8658446403947982
이디야커피 서일중앙점,중랑구,면목역 7호선,0.7753730609755723
이디야커피 삼각지점,용산구,신용산역 4호선,0.2955292841152533
이디야커피 사당중앙점,관악구,사당역 2호선,0.11043779137353879
이디야커피 장한평역점,성동구,장한평역 5호선,0.1761763992435793
이디야커피 동서울터미널점,광진구,강변역 2호선,0.25036078080123486
이디야커피 합정역사거리점,마포구,합정역 6호선,0.1480890581503746
이디야커피 역삼점,강남구,한티역 수인분당선,1.0908936609521167
이디야커피 신사역점,강남구,신사역 3호선,0.17919170856126798
이디야커피 서울대중앙점,관악구,서울대입구역 2호선,0.3230908579672924
이디야커피 망원중앙점,마포구,마포구청역 6호선,0.5857901269502569
이디야커피 응암오거리점,은평구,새절역 6호선,0.3393480362136608
이디야커피 합정동점,마포구,상수역 6호선,0.3587500306987462
이디야커피 청량리점,동대문구,청량리역 1호선,0.26424715799307164
이디야커피 성산점,마포구,마포구청역 6호선,0.8925183153433857
이디야커피 천호로데오점,강동구,천호역 5호선,0.10983698687451526
이디야커피 수락산역점,노원구,수락산역 7호선,0.216857457360003
이디야커피 광희동점,중구,동대문역사문화공원역 5호선,0.02404726169668785
이디야커피 삼성한전점,강남구,선릉역 2호선,0.24631263102163137
이디야커피 동대문점,중구,동대문역사문화공원역 2호선,0.22624734066917532
이디야커피 도봉산점,도봉구,도봉산역 1호선,0.2099915279694043
이디야커피 노들점,동작구,노들역 9호선,0.46003754490433185
이디야커피 서교동점,마포구,홍대입구역 경의중앙선,0.1481456011408262
이디야커피 망우중앙점,중랑구,망우역 경의중앙선,0.3344013623628391
이디야커피 당산중앙점,영등포구,영등포구청역 2호선,0.36016161246052947
이디야커피 발산역점,강서구,우장산역 5호선,0.9939652427919868
이디야커피 신림중앙점,관악구,신림역 2호선,0.28043063259264084
이디야커피 북가좌동점,서대문구,증산역 6호선,0.20237132201332372
이디야커피 방이역점,송파구,방이역 5호선,0.16214433577037987
이디야커피 고덕그라시움후문점,강동구,고덕역 5호선,1.0123517510919482
이디야커피 건대역점,광진구,건대입구역 2호선,0.0019973698878833182
이디야커피 도봉역점,도봉구,도봉역 1호선,0.2860240153781563
이디야커피 압구정점,강남구,압구정역 3호선,0.3607199287749601
이디야커피 신정역점,양천구,신정역 5호선,0.09343919454199764
이디야커피 당산역점,영등포구,당산역 9호선,0.056664775102572694
이디야커피 신림난곡점,관악구,신림역 2호선,1.611262460585882
이디야커피 마곡중앙점,강서구,마곡나루역 공항철도,0.7875994708272328
이디야커피 응암중앙점,은평구,새절역 6호선,0.4167081631523787
이디야커피 수유역점,강북구,수유역 4호선,0.06912538059306579
이디야커피 서울고속버스터미널점,서초구,고속터미널역 3호선,0.17794653869823987
이디야커피 건대로데오점,광진구,건대입구역 2호선,0.1308897974705575
이디야커피 시청점,중구,시청역 1호선,0.2292077740795385
이디야커피 숭실대점,동작구,숭실대입구역 7호선,1.0148743367202413
이디야커피 노원역2호점,노원구,노원역 4호선,0.04277958046760325
이디야커피 오류남부점,구로구,오류동역 1호선,0.32598073115827425
이디야 등촌중앙점,강서구,목동역 5호선,1.1290693749789282
이디야커피 가산오거리점,금천구,가산디지털단지역 7호선,0.1528088645871171
이디야커피 시흥대로점,금천구,구로디지털단지역 2호선,1.0418721178821617
이디야커피 보라매공원점,동작구,보라매역 7호선,0.4890938819948878
이디야커피 신월5동점,양천구,화곡역 5호선,1.2017117259490733
이디야커피 송파동점,송파구,석촌역 8호선,0.2570909222165338
이디야커피 개봉현대점,구로구,개봉역 1호선,0.4088360433588698
이디야커피 명지대점,서대문구,증산역 6호선,1.3876692454645847
이디야커피 오류북부역점,구로구,온수역 1호선,0.7456850921443802
이디야커피 한티역점,강남구,한티역 수인분당선,0.3423659777495498
이디야커피 강남대치점,강남구,구룡역 수인분당선,0.5561591241530375
이디야커피 역촌동점,은평구,구산역 6호선,0.858158879157423
이디야커피 혜화역점,종로구,혜화역 4호선,0.21947994693265815
이디야커피 까치산로점,강서구,증미역 9호선,0.8189023761589803
이디야커피 용산중앙점,용산구,용산역 1호선,0.39057476621235154
이디야커피 옥수역점,성동구,옥수역 3호선,0.23544243508181723
이디야커피 난곡사거리점,관악구,신대방역 2호선,0.7522649801483924
이디야커피 충정로역점,중구,충정로역 2호선,0.19614507774673542
이디야커피 한강공원로점,마포구,망원역 6호선,0.929155468402464
이디야커피 하계을지점,노원구,하계역 7호선,0.24172704390480376
이디야커피 수유사거리점,강북구,미아역 4호선,0.5320254807325683
이디야커피 길동사거리점,강동구,강동역 5호선,0.31633078060897707
이디야커피 동묘역점,종로구,동묘앞역 1호선,0.026613693112549762
이디야커피 구파발역점,은평구,구파발역 3호선,0.18950154183375534
이디야커피 송파잠실점,송파구,삼전역 9호선,0.3786677968335168
이디야커피 양재중앙점,서초구,양재역 3호선,0.15597588982388533
이디야커피 iBK고객센터점,용산구,한남역 경의중앙선,0.6436237610919346
이디야커피 올림픽북문점,강동구,둔촌동역 5호선,0.7457886367510785
이디야커피 삼전역점,송파구,삼전역 9호선,0.7332540219600133
이디야커피 신내동점,중랑구,양원역 경의중앙선,1.0108134016023322
이디야커피 청룡중앙점,관악구,봉천역 2호선,0.49938836318235436
이디야커피 신림패션문화점,관악구,신림역 2호선,0.6231451232546228
이디야커피 영등포구청점,영등포구,당산역 2호선,0.04440010946362837
이디야커피 연세대점,서대문구,신촌역 경의중앙선,0.43221832639489977
이디야커피 고대개운점,성북구,안암역 6호선,0.17821651602207156
이디야커피 대청역점,강남구,대청역 3호선,0.17191899206057226
이디야커피 동교동점,서대문구,홍대입구역 경의중앙선,0.15795696602564216
이디야커피 성산중앙점,마포구,홍대입구역 공항철도 3번출구,0.3934233825687714
이디야커피 선릉점,강남구,석촌고분역 9호선,0.10175113285204866
이디야커피 이화여대점,서대문구,신촌역 경의중앙선,0.46330096331573506
이디야커피 경복궁역점,종로구,경복궁역 3호선,0.46310068446627645
이디야커피 성신여대점,성북구,성신여대입구역 4호선,0.41359959350384295
이디야커피 신길역점,영등포구,신길역 1호선,0.2344625055954321
이디야커피 상계역사거리점,노원구,상계역 4호선,0.23576246552308627
이디야커피 관악구청점,관악구,서울대입구역 2호선,0.1736465819052065
이디야커피 합정LIG점,마포구,합정역 6호선,0.2788189845910248
이디야커피 강동구청점,강동구,강동구청역 8호선,0.22020329953728487
이디야커피 성신여대역점,성북구,성신여대입구역 4호선,0.1198460116858049
이디야커피 잠실나루역점,송파구,잠실역 8호선,0.6157329971382925
이디야커피 신대방삼거리점,동작구,신대방삼거리역 7호선,0.09447223068432407
이디야커피 남구로역점,구로구,남구로역 7호선,0.1567109302632769
이디야커피 군자역점,광진구,군자역 7호선 5번출구,0.15305741525570168
이디야커피 증산동점,은평구,증산역 6호선,0.2419080524635922
이디야커피 청구역점,중구,청구역 5호선,0.08377112314837382
이디야커피 우면동점,서초구,양재시민의숲역 신분당선,0.6411692698605961
이디야커피 도봉보건소사거리점,도봉구,창동역 1호선,0.9101678484396489
이디야커피 서대문점,서대문구,서대문역 5호선,0.17252160286164706
이디야커피 강남도산점,강남구,압구정역 3호선,0.7866653232538189
이디야커피 서울교대점,서초구,남부터미널역 3호선,0.35566080872959793
이디야커피 종각점,종로구,종각역 1호선,0.26931389211147116
이디야커피 가산리더스타워점,금천구,가산디지털단지역 7호선,0.2799322985605939
이디야커피 이수중앙점,동작구,남성역 7호선,0.15574670620415107
이디야커피 한국은행점,중구,회현역 4호선,0.30347377448054697
이디야커피 도림점,영등포구,신도림역 1호선,0.49995320866001
이디야커피 자양우성점,광진구,뚝섬유원지역 7호선,0.7757305074533161
이디야커피 월곡1동점,성북구,미아사거리역 4호선,0.3061361878229252
이디야커피 문정중앙점,송파구,문정역 8호선,0.49175050061798836
이디야커피 일원동점,강남구,대청역 3호선,0.4139522404786216
이디야커피 화랑대역점,중랑구,화랑대역 6호선,0.09561814235635754
이디야커피 갈현점,은평구,구산역 6호선,0.3450696838130245
이디야커피 망원역점,마포구,망원역 6호선,0.06789678718578838
이디야커피 공릉역점,노원구,공릉역 7호선,0.05096105229656327
이디야커피 신촌로터리점,마포구,신촌역 2호선,0.18613921037022055
이디야커피 장안동점,동대문구,장한평역 5호선,0.4477068322789127
이디야커피 상봉역점,중랑구,상봉역 7호선,0.16714750425956001
이디야커피 잠실본동점,송파구,삼전역 9호선,0.17566757441064862
이디야커피 용두동점,동대문구,용두역 2호선,0.30758422668099983
이디야커피 역삼중앙점,강남구,한티역 수인분당선,0.994187481469156
이디야커피 석촌사거리점,송파구,석촌역 8호선,0.4432010610200207
이디야커피 장승배기역점,동작구,장승배기역 7호선,0.16095537786919356
이디야커피 총신대점,동작구,낙성대역 2호선,1.0133835541732983
이디야커피 대치포스코점,강남구,석촌고분역 9호선,0.35072139705925687
이디야커피 신창점,도봉구,수유역 4호선,0.9634197976408221
이디야커피 월계인덕점,노원구,당고개역 4호선,0.15282678368789565
이디야커피 시흥사거리점,금천구,금천구청역 1호선,0.48759316538298075
이디야커피 보훈병원점,강동구,중앙보훈병원역 9호선,0.45844897119057587
이디야커피 신림미성점,관악구,신림역 2호선,1.7731080252417282
이디야커피 논골사거리점,성동구,신금호역 5호선,0.4054272743889044
이디야커피 중화역점,중랑구,중화역 7호선,0.15584191183068133
이디야커피 묵동자이점,중랑구,먹골역 7호선,0.33925624416466016
이디야커피 성북구청점,성북구,성신여대입구역 4호선,0.4587422603716178
이디야커피 구일역점,구로구,구일역 1호선,0.2414518528516933
이디야커피 교대역점,서초구,교대역 3호선,0.1566706023538098
이디야커피 무악재역점,서대문구,무악재역 3호선,0.10334048458035607
이디야커피 홍대학원가점,마포구,홍대입구역 경의중앙선,0.4855448581095139
이디야커피 송파하비오점,송파구,장지역 8호선,0.46421467599936134
이디야커피 삼각지역점,용산구,삼각지역 4호선,0.24100148668576502
이디야커피 천호역점,강동구,천호역 5호선,0.1309046680572204
이디야커피 당곡사거리점,관악구,신림역 2호선,0.5683196366444061
이디야커피 광나루점,광진구,광나루역 5호선,0.48668828057897495
이디야커피 선정릉역점,강남구,선정릉역 수인분당선,0.16424261109004112
이디야커피 마곡역점,강서구,가양역 9호선,0.9687851440967131
이디야커피 동부이촌동점,용산구,이촌역 경의중앙선,0.17517546637608195
이디야커피 응암역점,은평구,응암역 6호선,0.18896763536315284
이디야커피 송정역점,강서구,송정역 5호선,0.09193831898342655
이디야커피 정릉점,성북구,북한산보국문역 우이신설선,0.07793914098193953
이디야커피 우장산동점,강서구,우장산역 5호선,0.6756307917875626
이디야커피 상암한샘점,마포구,디지털미디어시티역 공항철도,0.17885795968077933
이디야커피 함지박사거리점,서초구,내방역 7호선,0.7096179391390535
이디야커피 서초점,서초구,서초역 2호선,0.10732895268395468
