Name,Addr,ediya,distEdiya,subway,distSubway
스타벅스 강남R점,강남구,이디야커피 역삼플래티넘점,0.316124371326413,역삼역 2호선,0.0444955278275907
스타벅스 청담스타R점,강남구,이디야커피 압구정로데오역점,0.366625088527864,압구정로데오역 수인분당선,0.468393169249154
스타벅스 압구정로데오역점,강남구,이디야커피 역삼점,0.161188954017839,한티역 수인분당선,0.953009284330935
스타벅스 수서역R,강남구,이디야커피 수서역점,0.101627138272426,수서역 3호선,0.12789344600225
스타벅스 청담사거리점,강남구,이디야커피 청담사거리점,0.335935459799528,청담역 7호선,0.679213104005622
스타벅스 스타필드코엑스몰 R점,강남구,이디야커피 삼성동점,0.385616985092169,선릉역 2호선,0.299677361349788
스타벅스 신사가로수점,강남구,이디야커피 압구정점,0.348386151851276,압구정역 3호선,0.0542620017366862
스타벅스 강남대로점,강남구,이디야커피 신논현역점,0.318638533712798,신논현역 9호선,0.174241203585543
스타벅스 신사역점,강남구,이디야커피 신사점,0.110878889116083,신사역 3호선,0.035755599370734
스타벅스 양재강남빌딩R점,강남구,이디야커피 서초법조타운점,0.191198641997604,양재역 3호선,0.299277939713269
스타벅스 선릉세화빌딩점,강남구,이디야커피 선릉역점,0.267822788267078,석촌고분역 9호선,0.675118971853975
스타벅스 포이점,강남구,이디야커피 포이사거리점,0.150867016430846,매봉역 3호선,1.02729568873023
스타벅스 강남오거리점,강남구,이디야커피 신논현역점,0.466693961114329,신논현역 9호선,0.31559942140636
스타벅스 선릉역점,강남구,이디야커피 선릉역점,0.0313707795251034,석촌고분역 9호선,0.8491193667246
스타벅스 강남비젼타워점,강남구,이디야커피 역삼플래티넘점,0.396418196595886,역삼역 2호선,0.0703253249180922
스타벅스 청담점,강남구,이디야커피 청담사거리점,0.118158134082729,청담역 7호선,0.585987990140899
스타벅스 강남구청역점,강남구,이디야커피 강남구청역아이티웨딩점,0.0795131357897841,강남구청역 7호선,0.0641806847350375
스타벅스 학여울역점,강남구,이디야커피 대청역점,0.908391461244877,학여울역 3호선,0.316207145523736
스타벅스 선릉동신빌딩R점,강남구,이디야커피 선릉사거리점,0.216903944653761,석촌고분역 9호선,0.628608028791557
스타벅스 가로수길점,강남구,이디야커피 압구정점,0.497292645795557,압구정역 3호선,0.154320830004164
스타벅스 학동역점,강남구,이디야커피 학동역점,0.211968638670853,언주역 9호선,0.849360181805485
스타벅스 압구정R점,강남구,이디야커피 압구정로데오역점,0.506670872334079,압구정로데오역 수인분당선,0.755159732307522
스타벅스 역삼역점,강남구,이디야커피 역삼충현점,0.364168955256731,역삼역 2호선,0.670510777718036
스타벅스 선정릉역,강남구,이디야커피 선정릉역점,0.210555494192002,선정릉역 수인분당선,0.0775246751914773
스타벅스 도곡공원점,강남구,이디야커피 역삼점,0.309056921076818,매봉역 3호선,0.83017722655666
스타벅스 청담공원점,강남구,이디야커피 삼성동점,0.609237580601388,선릉역 2호선,0.504640710915076
스타벅스 압구정,강남구,이디야커피 압구정점,0.290489726789876,압구정역 3호선,0.635897107511862
스타벅스 압구정역점,강남구,이디야커피 압구정점,0.245584164040613,압구정역 3호선,0.544370111113438
스타벅스 학동사거리,강남구,이디야커피 도산사거리점,0.290437876807463,강남구청역 7호선,0.649018231146997
스타벅스 삼성역섬유센터R점,강남구,이디야커피 삼성동점,0.13206537809901,선릉역 2호선,0.262634063169328
스타벅스 차병원사거리점,강남구,이디야커피 강남YMCA점,0.213243036638008,언주역 9호선,0.116358968525608
스타벅스 도산가로수길점,강남구,이디야커피 신사점,0.158684276090725,신사역 3호선,0.284270181448413
스타벅스 신압구정점,강남구,이디야커피 압구정로데오역점,0.221188815826262,압구정로데오역 수인분당선,0.449921738908683
스타벅스 뱅뱅사거리점,강남구,이디야커피 양재점,0.494794406599307,양재역 3호선,0.426354475901821
스타벅스 삼성교점,강남구,이디야커피 삼성한전점,0.279904311845879,선릉역 2호선,0.222659605210374
스타벅스 한티역점,강남구,이디야커피 한티역점,0.162687558510477,한티역 수인분당선,0.2119874524325
스타벅스 압구정미소점,강남구,이디야커피 압구정점,0.119103554495549,압구정역 3호선,0.442034430625646
스타벅스 아크로힐스논현점,강남구,이디야커피 선정릉역점,0.208774959327776,선정릉역 수인분당선,0.354946228046583
스타벅스 강남구청정문점,강남구,이디야커피 청담역점,0.3418714633327,강남구청역 7호선,0.430265722593908
스타벅스 논현역사거리점,강남구,이디야커피 잠원논현점,0.203375223583663,논현역 7호선,0.12145149854444
스타벅스 역삼초교사거리점,강남구,이디야커피 역삼플래티넘점,0.269393429428506,강남역 2호선,0.535764546777245
스타벅스 스탈릿대치R점,강남구,이디야커피 삼성동점,0.31059428253304,선릉역 2호선,0.133434265338878
스타벅스 을지병원사거리점,강남구,이디야커피 을지병원사거리점,0.0745066910391398,압구정역 3호선,0.752357988083625
스타벅스 코엑스몰점,강남구,이디야커피 삼성한전점,0.523360036328222,선릉역 2호선,0.457346013671469
