,Name,Addr,lat,lng
154,스타벅스 노원KT점,서울 노원구 노해로 502,37.6543814,127.0636656
155,스타벅스 혜화역점,"서울 종로구 대학로12길 4 1,2층",37.5824779,127.002185
156,스타벅스 학여울역점,서울 강남구 영동대로 215,37.4979557,127.0685027
157,스타벅스 미아뉴타운점,서울 강북구 삼양로 161 행전빌딩,37.6260077,127.0215587
158,스타벅스 연신내역사거리점,서울 은평구 통일로 842,37.6186243,126.9220434
159,스타벅스 선릉동신빌딩R점,서울 강남구 테헤란로 409,37.5053116,127.0503634
160,스타벅스 송파위례,서울 송파구 위례광장로 230,37.4797341,127.1440951
161,스타벅스 문정법원로R,서울 송파구 송파대로 201,37.4856859,127.1193237
162,스타벅스 잠실시그마타워점,서울 송파구 올림픽로 289,37.5145667,127.1024928
163,스타벅스 가로수길점,서울 강남구 논현로175길 94 임도빌딩 1층,37.5231593,127.021625
164,스타벅스 오류동역점,서울 구로구 경인로 216 1층,37.4961687,126.8448492
165,스타벅스 아시아선수촌점,서울 송파구 백제고분로 69 애플타워 175,37.5104879,127.078989
166,스타벅스 구산역점,서울 은평구 연서로 146,37.6117171,126.9176171
167,스타벅스 천호역점,서울 강동구 천호대로 1012 태승빌딩 1층,37.5378682,127.1269387
168,스타벅스 학동역점,서울 강남구 논현로 704,37.5145746,127.0307537
169,스타벅스 수유역점,서울 강북구 도봉로 342,37.6380167,127.026135
170,스타벅스 당산점,서울 영등포구 양평로 64 1층,37.5350961,126.8999555
171,스타벅스 노량진동점,서울 동작구 노량진로 190 고려교육타워 어바니엘한강 101~105호,37.5131423,126.9465461
172,스타벅스 종로관수점,서울 종로구 삼일대로20길 13,37.5697113,126.9886559
173,스타벅스 송파구청,서울 송파구 오금로 87,37.5145732,127.1074043
174,스타벅스 압구정R점,서울 강남구 언주로 861,37.5273669,127.0330761
175,스타벅스 마곡GMG,서울 강서구 마곡중앙6로 16 117~120호,37.55319679999999,126.8298352
176,스타벅스 미아사거리역점,서울 강북구 도봉로 32,37.62157819999999,127.0297189
177,스타벅스 문정하비오,서울 송파구 송파대로 111 204동 104~107호,37.4811895,127.1237787
178,스타벅스 신당역사거리점,서울 중구 다산로 258,37.5658043,127.0165817
179,스타벅스 숭실대입구역,서울 동작구 상도로 354,37.4968346,126.9527123
180,스타벅스 문래동점,서울 영등포구 선유로 64 대창타운빌 1층,37.5196292,126.8896882
181,스타벅스 서울교대점,서울 서초구 서초중앙로 64 1층,37.4873998,127.0151589
182,스타벅스 서교동사거리,서울 마포구 양화로 105,37.5533761,126.9185644
183,스타벅스 여의도공원R점,서울 영등포구 여의공원로 101,37.5292309,126.9248721
184,스타벅스 목동역점,서울 양천구 목동로 203,37.5266578,126.8637816
185,스타벅스 가양역점,서울 강서구 양천로 476,37.561561,126.8532562
186,스타벅스 역삼역점,서울 강남구 테헤란로 145 우신빌딩 1층,37.5005648,127.0352556
187,스타벅스 낙성대역점,서울 관악구 남부순환로 1908,37.4776649,126.9611926
188,스타벅스 잠실대교남단R점,서울 송파구 송파대로 570 타워730 1층,37.5157956,127.0988566
189,스타벅스 연희동점,서울 서대문구 연희로 97,37.5667633,126.9305031
190,스타벅스 공덕점,서울 마포구 마포대로 130,37.5459128,126.9529563
191,스타벅스 삼청동점,서울 종로구 삼청로 111-1 1층,37.5811875,126.9811811
192,스타벅스 서울대역,서울 관악구 남부순환로 1817,37.4815987,126.9522003
193,스타벅스 서래마을입구점,서울 서초구 서래로 48,37.49922970000001,126.9985484
194,스타벅스 합정폴리스R점,서울 마포구 양화로 45,37.5489656,126.9134767
