Name,Addr
스타벅스 파미에파크R점,서울 서초구 사평대로 205 센트럴시티 파미에파크돔
스타벅스 강남R점,서울 강남구 강남대로 390
스타벅스 더종로R점,서울 종로구 종로 51
스타벅스 광화문R점,서울 종로구 세종대로 167 현대해상본사사옥 별관내
스타벅스 영등포신길점,"서울 영등포구 신길로 137 1,2층"
스타벅스 청담스타R점,서울 강남구 도산대로57길 24
스타벅스 공릉DT점,서울 노원구 동일로 1015
스타벅스 환구단점,서울 중구 소공로 112 반도조선아케이드
스타벅스 연희DT점,서울 서대문구 연희로 144
스타벅스 홍대입구역사거리R점,서울 마포구 양화로 125 경남관광빌딩 1층
스타벅스 석촌호수점,"서울 송파구 석촌호수로 262 지상 1, 2층"
스타벅스 화곡DT점,서울 강서구 등촌로 57
스타벅스 한강진역R점,서울 용산구 이태원로 252
스타벅스 용산역써밋R점,서울 용산구 한강대로 69
스타벅스 신월ICDT점,서울 양천구 남부순환로 430
스타벅스 신촌점,서울 서대문구 연세로 10-1 즐거운빌딩 1~3층
스타벅스 홍대역점,서울 마포구 양화로 165 상진빌딩 1층
스타벅스 마곡사이언스타워R,서울 강서구 마곡동로 62
스타벅스 왕십리역,서울 성동구 왕십리로 326
스타벅스 신정DT점,서울 양천구 신월로 341
스타벅스 압구정로데오역점,"서울 강남구 선릉로 836 삼원빌딩 1,2층"
스타벅스 방화DT,서울 강서구 방화대로 375
스타벅스 성신여대점,서울 성북구 동소문로24길 12
스타벅스 노량진역점,서울 동작구 노량진로 134
스타벅스 수서역R,서울 강남구 수서동 715-1
스타벅스 건대입구,서울 광진구 능동로 107
스타벅스 보라매공원R점,서울 동작구 보라매로5길 35
스타벅스 망원역점,서울 마포구 월드컵로 74
스타벅스 청담사거리점,서울 강남구 도산대로 458 리츠타워
스타벅스 마곡나루,서울 강서구 마곡중앙로 161-17
스타벅스 영등포본동점,서울 영등포구 영등포로 254 우성타워 1층
스타벅스 홍대공항철도역점,서울 마포구 양화로 178
스타벅스 낙성대DT점,서울 관악구 남부순환로 1948
스타벅스 성수역,서울 성동구 성수이로 94
스타벅스 몬테소리점,서울 서초구 강남대로 399 한국몬테소리 빌딩
스타벅스 노원역점,서울 노원구 동일로 1413 남성빌딩 1층
스타벅스 잠실새내역점,서울 송파구 올림픽로 96 1층
스타벅스 관악서울대입구R점,서울 관악구 관악로 158 BS타워 1층
스타벅스 이대R점,서울 서대문구 이화여대길 34
스타벅스 신림DT점,서울 관악구 남부순환로 1419
스타벅스 사당역점,서울 동작구 동작대로 21 양지빌딩 1-3층
스타벅스 송파나루역DT점,서울 송파구 오금로 142
스타벅스 서울대입구역점,서울 관악구 남부순환로 1812
스타벅스 경복궁역점,서울 종로구 자하문로4길 6 1층
스타벅스 송파방이DT점,서울 송파구 오금로 241
스타벅스 상암DMC점,"서울 마포구 월드컵북로 375 DMC이안오피스텔1단지 102,202호"
스타벅스 잠실역점,"서울 송파구 송파대로 562 한빛프라자 1,2층"
스타벅스 답십리역점,서울 동대문구 천호대로 263
스타벅스 공릉역,서울 노원구 동일로 1081
스타벅스 가재울뉴타운점,서울 서대문구 남가좌동 384 2단지 별동상가 1층
스타벅스 동대문공원점,서울 중구 장충단로 229
스타벅스 종각점,서울 종로구 종로 64
스타벅스 은평구청입구점,서울 은평구 은평로 170 상현빌딩 1층
스타벅스 스타필드코엑스몰 R점,서울 강남구 삼성동 159-9
스타벅스 여의도역R점,서울 영등포구 의사당대로 83 한국휴렛팩커드빌딩 1층
스타벅스 서울숲역,서울 성동구 왕십리로 50 메가박스 스퀘어 1층
스타벅스 안국점,서울 종로구 북촌로 5-1
스타벅스 회기역사거리점,서울 동대문구 이문로 37 회기 한일 베라체캠퍼스 1층
스타벅스 장한평역점,서울 동대문구 장한로 10
스타벅스 군자역,서울 광진구 천호대로 548
스타벅스 노원마들역점,서울 노원구 노원로 569 임광아파트상가
스타벅스 강동암사DT,서울 강동구 고덕로 43
스타벅스 상계초교사거리점,서울 노원구 노원로 449
스타벅스 천호로데오점,서울 강동구 천호대로 1037
스타벅스 석촌서호점,서울 송파구 석촌호수로 176 1층
스타벅스 강남삼성타운점,서울 서초구 서초대로78길 24
스타벅스 신설동역점,서울 동대문구 왕산로 19
스타벅스 구의DT,서울 광진구 광나루로 519
스타벅스 구로호텔점,서울 구로구 디지털로32길 72 구로호텔 1층
스타벅스 서울웨이브아트센터점,서울 서초구 잠원동 149
스타벅스 영등포역점,서울 영등포구 경인로 870
스타벅스 문정역점,서울 송파구 송파대로 167
스타벅스 까치산역점,서울 강서구 강서로13길 3
스타벅스 홍대삼거리점,서울 마포구 와우산로 64
스타벅스 합정점,서울 마포구 월드컵로1길 14
스타벅스 홍제역점,서울 서대문구 통일로 451
