,Name,Addr,lat,lng
0,강남역 2호선,역삼동 858,37.49701719999999,127.0281681
1,왕십리역 2호선,행당동 192,37.5622586,127.0372276
2,화곡역 5호선,화곡동 1089-54,37.5410793,126.8408434
3,홍대입구역 2호선,동교동 165,37.5567292,126.9236419
4,잠실역 2호선,신천동 8,37.4393308,126.7884814
5,신림역 2호선,신림동 1467-10,37.4841776,126.9297887
6,서울대입구역 2호선,봉천동 979-2,37.4811133,126.9526344
7,사당역 2호선,사당동 1129,37.4764838,126.9813957
8,신촌역 2호선,노고산동 31-11,37.5546671,126.9374995
9,합정역 2호선,서교동 393,37.55000769999999,126.9145039
10,당산역 2호선,당산동6가 323-1,37.5349309,126.9027301
11,혜화역 4호선,명륜4가 96-5,37.581893,127.0019528
12,이태원역 6호선,이태원동 119-23,37.5345103,126.9946564
13,수유역 4호선,수유동 140,37.6397753,127.0272077
14,연신내역 3호선,갈현동 397,37.6188881,126.920832
15,선릉역 2호선,삼성동 172-66,37.5088263,127.0630673
16,마곡나루역 9호선,마곡동 760-3,37.5764888,126.8307466
17,신도림역 1호선,신도림동 460-26,37.5086867,126.8909033
18,양재역 3호선,서초동 1366-9,37.48476050000001,127.033371
19,삼성역 2호선,삼성동 172-66,37.5088263,127.0630673
20,동대문역 1호선,창신동 492-1,37.5717429,127.0111694
21,건대입구역 2호선,화양동 7-3,37.5407487,127.0690014
22,총신대입구역 4호선,사당동 736-1,37.476379,126.9735832
23,역삼역 2호선,역삼동 804,37.4981284,127.028303
24,구로역 1호선,구로동 585-3,37.5024908,126.8820659
25,발산역 5호선,마곡동 727-1496,37.5764888,126.8307466
26,군자역 5호선,능동 275-5,37.5569984,127.079719
27,신사역 3호선,신사동 667,37.5163915,127.0203073
28,천호역 5호선,천호동 455,37.5384618,127.1250941
29,신논현역 9호선,역삼동 800,37.5045961,127.0250184
30,교대역 3호선,서초동 1748-4,37.4948466,127.0172856
31,노원역 4호선,상계동 602-5,37.6558674,127.0619911
32,까치산역 5호선,화곡동 662-5,37.5325506,126.8463214
33,공덕역 5호선,공덕동 423-29,37.5444535,126.9511752
34,가산디지털단지역 7호선,가산동 468-4,37.4822545,126.8821832
35,구로디지털단지역 2호선,구로동 810-3,37.4851265,126.9015288
36,여의도역 9호선,여의도동 2-6,37.5227705,126.922993
37,종로3가역 1호선,종로3가 10-5,37.5703842,126.9920077
38,종각역 1호선,종로1가 54,37.5701747,126.9832262
39,대림역 2호선,구로동 1204,37.4925043,126.8949615
40,상계역 4호선,상계동 156-203,37.6610953,127.0735256
41,독산역 1호선,가산동 717,37.4664922,126.8892141
42,길음역 4호선,길음동 877-66,37.6032254,127.0249647
43,강변역 2호선,구의동 546-6,37.5354211,127.094533
44,창동역 1호선,창동 135-1,37.6531856,127.0481139
45,쌍문역 4호선,창동 703-4,37.6488107,127.034866
46,논현역 7호선,논현동 279-67,37.5111584,127.0216392
47,염창역 9호선,염창동 284-84,37.5470283,126.8751669
48,거여역 5호선,거여동 20-14,37.4942493,127.1419784
49,응암역 6호선,신사동 22-15,37.5981567,126.9154604
50,개봉역 1호선,개봉동 415,37.4945586,126.8587506
51,회기역 1호선,휘경동 317-101,37.5896999,127.0580246
52,성수역 2호선,성수동2가 300-1,37.5446009,127.0568847
53,노량진역 9호선,노량진동 60-11,37.5135467,126.9408438
54,명동역 4호선,충무로2가 109-2,37.5608222,126.9853555
55,방배역 2호선,방배동 912-14,37.4812965,126.9973202
56,서대문역 5호선,평동 210,37.5661698,126.9669625
57,목동역 5호선,목동 926-3,37.52606,126.8654311
58,복정역 8호선,장지동 596-21,37.4706864,127.1266998
59,태릉입구역 7호선,공릉동 616-4,37.6191035,127.0751197
60,석계역 1호선,월계동 36-4,37.6152696,127.0656321
61,면목역 7호선,면목동 282-6,37.5891527,127.0873411
62,신길역 1호선,신길동 41-1,37.5170175,126.9171901
63,성신여대입구역 4호선,동선동4가 1,37.5930482,127.0167136
64,안국역 3호선,안국동 73-1,37.5777155,126.9840735
65,온수역 7호선,온수동 119,37.4913594,126.8213562
66,압구정역 3호선,신사동 668,37.524124,127.022883
67,경복궁역 3호선,적선동 81-1,37.5758199,126.9730579
68,잠실새내역 2호선,잠실동 33,37.512065,127.084197
69,서초역 2호선,서초동 1748-5,37.4927648,127.0105414
70,사가정역 7호선,면목동 495,37.5817877,127.0843345
71,신정네거리역 2호선,신정동 1231,37.51829350000001,126.8536189
72,구산역 6호선,구산동 1,37.6111396,126.9169368
73,장한평역 5호선,장안동 472-3,37.5614626,127.0644199
74,마곡역 5호선,마곡동 769-3,37.5764888,126.8307466
75,문정역 8호선,문정동 119-4,37.4881176,127.1211404
76,구의역 2호선,구의동 245-24,37.5382826,127.0907553
77,신대방역 2호선,신대방동 643-1,37.4875104,126.9129914
78,홍제역 3호선,홍제동 161-1,37.5872664,126.9458373
79,강남구청역 7호선,삼성동 111-44,37.517161,127.041288
80,당고개역 4호선,상계동 111,37.6705563,127.0793058
81,고속터미널역 3호선,반포동 19-11,37.5047736,127.0049178
82,가양역 9호선,가양동 14-61,37.5617266,126.8539792
83,동대문역사문화공원역 2호선,을지로7가 112-3,37.5657177,127.0084849
84,길동역 5호선,길동 378,37.5383746,127.1402046
85,상도역 7호선,상도1동 702-1,37.5027719,126.9504938
86,여의나루역 5호선,여의도동 84-4,37.5267506,126.9328452
87,대방역 1호선,신길동 1368-3,37.5132802,126.9262955
88,구파발역 3호선,진관동 67-26,37.6375367,126.9185875
89,암사역 8호선,암사동 501,37.55114349999999,127.1281759
90,장승배기역 7호선,상도동 26-20,37.5045422,126.9385948
91,학동역 7호선,논현동 279-67,37.5111584,127.0216392
92,아차산역 5호선,능동 256-16,37.5528109,127.0889706
93,낙성대역 2호선,봉천동 1693-39,37.4770283,126.9633959
94,등촌역 9호선,등촌동 666-94,37.5510957,126.8647359
95,불광역 3호선,대조동 13-10,37.6101683,126.9299702
96,도봉산역 1호선,도봉동 301-5,37.688268,127.0460149
97,동묘앞역 1호선,숭인동 117,37.5732808,127.0166486
98,신용산역 4호선,한강로2가 181,37.5293642,126.9682985
99,신설동역 1호선,신설동 76-5,37.5760874,127.0245602
