Name,Addr
이디야커피 신사역점,서울 강남구 압구정로2길 62 1층
이디야커피 서울대중앙점,서울 관악구 남부순환로216길 2
이디야커피 망원중앙점,서울 마포구 월드컵로 147
이디야커피 응암오거리점,서울 은평구 응암로 211
이디야커피 합정동점,서울 마포구 양화로6길 90 1층
이디야커피 청량리점,서울 동대문구 왕산로 225
이디야커피 성산점,서울 마포구 월드컵북로 137
이디야커피 천호로데오점,서울 강동구 천호대로 1027
이디야커피 수락산역점,서울 노원구 동일로 1689
이디야커피 광희동점,서울 중구 마른내로 165-1
이디야커피 삼성한전점,서울 강남구 테헤란로107길 11
이디야커피 동대문점,서울 중구 을지로43길 38
이디야커피 도봉산점,서울 도봉구 도봉산길 18 1층
이디야커피 노들점,서울 동작구 노량진로 200 1층
이디야커피 서교동점,서울 마포구 와우산로29길 70 2층
이디야커피 망우중앙점,서울 중랑구 용마산로115길 109
이디야커피 당산중앙점,서울 영등포구 당산로 159 1층
이디야커피 발산역점,서울 강서구 공항대로 280
이디야커피 신림중앙점,서울 관악구 관천로 52
이디야커피 북가좌동점,서울 서대문구 증가로 257
이디야커피 방이역점,서울 송파구 위례성대로18길 32
이디야커피 고덕그라시움후문점,서울 강동구 동남로82길 121 1층
이디야커피 건대역점,서울 광진구 아차산로 229 한림타워 101호
이디야커피 도봉역점,서울 도봉구 도봉로 823
이디야커피 압구정점,서울 강남구 논현로167길 16 106호
이디야커피 신정역점,서울 양천구 오목로 155
이디야커피 당산역점,서울 영등포구 당산로 222 당산디오빌 103-4호
이디야커피 신림난곡점,서울 관악구 난곡로 197
이디야커피 마곡중앙점,서울 강서구 마곡중앙6로 66 퀸즈파크텐 1층
이디야커피 응암중앙점,서울 은평구 응암로 183
이디야커피 수유역점,서울 강북구 도봉로 355
이디야커피 서울고속버스터미널점,서울 서초구 신반포로 194 1층
이디야커피 건대로데오점,서울 광진구 아차산로30길 8
이디야커피 시청점,서울 중구 세종대로20길 23
이디야커피 숭실대점,서울 동작구 사당로 2
이디야커피 노원역2호점,서울 노원구 상계로 64 가동 1층 1호
이디야커피 오류남부점,서울 구로구 오류로8길 65
이디야 등촌중앙점,서울 강서구 등촌로 67 컴스웨이빌딩 1층
이디야커피 가산오거리점,서울 금천구 가산로 155 케이디에스빌딩
이디야커피 시흥대로점,서울 금천구 시흥대로 476
이디야커피 보라매공원점,서울 동작구 여의대방로 90
이디야커피 신월5동점,서울 양천구 화곡로 50 2층
이디야커피 송파동점,서울 송파구 백제고분로41길 5
이디야커피 개봉현대점,서울 구로구 개봉로 69 2층
이디야커피 명지대점,서울 서대문구 거북골로 33
이디야커피 오류북부역점,서울 구로구 경인로20길 6
이디야커피 한티역점,서울 강남구 도곡로69길 8
