Name,Addr
강남역 2호선,역삼동 858
왕십리역 2호선,행당동 192
화곡역 5호선,화곡동 1089-54
홍대입구역 2호선,동교동 165
잠실역 2호선,신천동 8
신림역 2호선,신림동 1467-10
서울대입구역 2호선,봉천동 979-2
사당역 2호선,사당동 1129
신촌역 2호선,노고산동 31-11
합정역 2호선,서교동 393
당산역 2호선,당산동6가 323-1
혜화역 4호선,명륜4가 96-5
이태원역 6호선,이태원동 119-23
수유역 4호선,수유동 140
연신내역 3호선,갈현동 397
선릉역 2호선,삼성동 172-66
마곡나루역 9호선,마곡동 760-3
신도림역 1호선,신도림동 460-26
양재역 3호선,서초동 1366-9
삼성역 2호선,삼성동 172-66
동대문역 1호선,창신동 492-1
건대입구역 2호선,화양동 7-3
총신대입구역 4호선,사당동 736-1
역삼역 2호선,역삼동 804
구로역 1호선,구로동 585-3
발산역 5호선,마곡동 727-1496
군자역 5호선,능동 275-5
신사역 3호선,신사동 667
천호역 5호선,천호동 455
신논현역 9호선,역삼동 800
교대역 3호선,서초동 1748-4
노원역 4호선,상계동 602-5
까치산역 5호선,화곡동 662-5
공덕역 5호선,공덕동 423-29
가산디지털단지역 7호선,가산동 468-4
구로디지털단지역 2호선,구로동 810-3
여의도역 9호선,여의도동 2-6
종로3가역 1호선,종로3가 10-5
종각역 1호선,종로1가 54
대림역 2호선,구로동 1204
상계역 4호선,상계동 156-203
독산역 1호선,가산동 717
길음역 4호선,길음동 877-66
강변역 2호선,구의동 546-6
창동역 1호선,창동 135-1
쌍문역 4호선,창동 703-4
논현역 7호선,논현동 279-67
염창역 9호선,염창동 284-84
거여역 5호선,거여동 20-14
응암역 6호선,신사동 22-15
개봉역 1호선,개봉동 415
회기역 1호선,휘경동 317-101
성수역 2호선,성수동2가 300-1
노량진역 9호선,노량진동 60-11
명동역 4호선,충무로2가 109-2
방배역 2호선,방배동 912-14
서대문역 5호선,평동 210
목동역 5호선,목동 926-3
복정역 8호선,장지동 596-21
태릉입구역 7호선,공릉동 616-4
석계역 1호선,월계동 36-4
면목역 7호선,면목동 282-6
신길역 1호선,신길동 41-1
성신여대입구역 4호선,동선동4가 1
안국역 3호선,안국동 73-1
온수역 7호선,온수동 119
압구정역 3호선,신사동 668
경복궁역 3호선,적선동 81-1
잠실새내역 2호선,잠실동 33
서초역 2호선,서초동 1748-5
사가정역 7호선,면목동 495
신정네거리역 2호선,신정동 1231
구산역 6호선,구산동 1
장한평역 5호선,장안동 472-3
마곡역 5호선,마곡동 769-3
문정역 8호선,문정동 119-4
구의역 2호선,구의동 245-24
신대방역 2호선,신대방동 643-1
홍제역 3호선,홍제동 161-1
강남구청역 7호선,삼성동 111-44
당고개역 4호선,상계동 111
고속터미널역 3호선,반포동 19-11
가양역 9호선,가양동 14-61
동대문역사문화공원역 2호선,을지로7가 112-3
길동역 5호선,길동 378
