word1,word2,freq
2,태안,1
박,태안,1
여행,태안,1
코스,태안,1
1,재방송,1
재개,해외여행,1
박,재방송,1
당일,여행,1
당일,상품,1
골프,괌,1
강원도,여행지,1
2,전주,1
박,전주,1
아시아나,항공,1
아시아나,하와이,1
여행,전주,1
1,강원도,1
2,강원도,1
강원도,박,1
강원도,추천,1
당일,버스,1
1,경기도,1
2,경기도,1
경기도,박,1
경기도,여행지,1
경기도,추천,1
국내,당일,1
국내,버스,1
여행,체코,1
여행,하와이,1
여행,프라하,1
재개,코로나,1
정부,체육,1
상품,조기,1
여행,예약,1
여행,조기,1
예약,조기,1
예약,할인,1
조기,할인,1
국내,문체부,1
문체부,여행,1
문화,소비,1
문화,숙박,1
문화,할인,1
소비,숙박,1
소비,할인,1
국내,무료,1
국내,장애인,1
무료,장애인,1
지원,할인,1
상품,코레일,1
여행,코레일,1
상품,예약,1
국내,조기,1
국내,예약,1
경비,스위스,1
농,수산물,1
농,정부,1
농,쿠폰,1
수산물,정부,1
수산물,쿠폰,1
경비,국내,1
입국,한국,1
장애인,지원,1
스위스,여행,1
위드,인원,1
대전,숙박,1
대전,쿠폰,1
대전,할인,1
위드,쿠폰,1
코로나,쿠폰,1
숙박시설,위드,1
숙박시설,코로나,1
숙박,인원,1
국내,기차,1
원금,정부,1
원금,홈페이지,1
방법,자가,1
시,자가,1
자가,태국,1
격리,사이판,1
시,일본,1
사이판,자가,1
격리,방법,1
격리,시,1
방법,한국,1
격리,일본,1
나라,해외,1
격리,입국,1
격리,한국,1
방법,입국,1
면제,방법,1
면제,시,1
면제,일본,1
면제,입국,1
면제,한국,1
격리,태국,1
나라,여행,1
코로나,홈페이지,1
일본,자가,1
국가,원금,1
원금,종류,1
종류,코로나,1
입국,자가,1
일본,한국,1
가족,겨울,1
단체,위드,1
11,격리,1
11,국가,1
일본여행,코로나,1
11,면제,1
11,자가,1
격리,국가,1
일본,입국,1
국가,면제,1
국가,자가,1
금지,영업,1
시,한국,1
체육,쿠폰,1
외식,할인,1
위드,해외여행,1
외식,지원,1
패키지,해외여행,1
1,여수,1
2,여수,1
박,여수,1
여수,추천,1
겨울,남해,1
꿈틀,여행,1
여행,일본,1
겨울,코스,1
남해,코스,1
sk,카드,1
sk,하나,1
sk,혜택,1
카드,혜택,1
하나,혜택,1
주유,카드,1
주유,하나,1
주유,할인,1
금지,일본,1
땡처리,해외여행,1
땡처리,패키지,1
대전,여행,1
아웃백,하나,1
위드,재개,1
신용카드,추천,1
기간,중국,1
추천,하나은행,1
방법,시,1
격리,중국,1
아웃백,카드,1
아웃백,클럽,1
카드,클럽,1
곳,여행,1
격리,기간,1
클럽,하나,1
베트남,여행지,1
꿈틀,해외,1
베트남,추천,1
여행지,우리나라,1
겨울,곳,1
신종,여행,1
골프,해외,1
카드,할인,1
하나,할인,1
숙박,주간,1
방법,정부,1
방법,쿠폰,1
방법,할인,1
신청,정부,1
신청,쿠폰,1
신청,할인,1
소비,정부,1
숙박,여행,1
여행,주간,1
재택근무,학교,1
주간,쿠폰,1
주간,할인,1
기차,부산,1
부산,여행,1
자가,한국,1
국내,소비,1
국내,쿠폰,1
소비,여행,1
방법,신청,1
아부다비,입국,1
스카이,카드,1
골프,상품,1
스카이,패스,1
스카이,하나,1
카드,패스,1
패스,하나,1
캐시,하나카드,1
다낭,베트남,1
다낭,자유여행,1
박,제주,1
골프,하나투어,1
마스크,언제,1
상품,하나투어,1
여행,하나투어,1
여행사,하나투어,1
하나,하나투어,1
여행,중국,1
숙박,지원,1
국내,신종,1
가능,중국,1
베트남,자유여행,1
코로나,홍천,1
경비,코로나,1
2,제주,1
가족,금지,1
가족,집합,1
모임,집합,1
코로나,회식,1
마스크,야외,1
야외,접종,1
19,모임,1
19,인원,1
공공기관,모임,1
공공기관,회식,1
모임,회식,1
공무원,복무,1
공무원,지침,1
공무원,코로나,1
공무원,특별,1
복무,지침,1
복무,코로나,1
복무,특별,1
지침,특별,1
코로나,특별,1
신고,코로나,1
5,가족,1
장례식,코로나,1
인원,장례식,1
금지,서울,1
19,3,1
19,사망자,1
19,광주,1
19,미국,1
19,서울,1
19,2,1
19,바이러스,1
모임,수도권,1
서울,집합,1
5,란,1
수도권,실외,1
금지,란,1
란,이상,1
란,인,1
란,집합,1
8,가족,1
8,모임,1
8,이상,1
마스크,수도권,1
마스크,실외,1
단계,조치,1
별,조치,1
기준,별,1
코로나,평택,1
약품,코로나,1
방법,방역,1
신고,집합,1
19,방역,1
방역,해충,1
방역,포스터,1
코로나,포스터,1
대책,코로나,1
검사,평택,1
검사,기준,1
방역,칙,1
검사,부천,1
부천,코로나,1
과정,치료,1
과정,코로나,1
마스크,위드,1
마스크,착용,1
금지,신고,1
위드,착용,1
착용,코로나,1
방역,약품,1
소독,코로나,1
단계,현재,1
거리,단계,1
코로나,현재,1
단계,서울,1
단계,조정,1
조정,코로나,1
상견례,코로나,1
거리,모임,1
두기,모임,1
거리,서울,1
두기,서울,1
거리,별,1
방역,소독,1
거리,사회,1
단계,두기,1
단계,사회,1
두기,별,1
두기,사회,1
별,사회,1
방역,지침,1
방역,업체,1
업체,코로나,1
19,부산,1
19,대구,1
예방,칙,1
인사말,코로나,1
5,단계,1
5,영업,1
5,제한,1
단계,영업,1
단계,제한,1
이상,코로나,1
모임,사적,1
사적,코로나,1
모임,인사말,1
모임,부산,1
2,제한,1
식사,코로나,1
동창회,위드,1
동창회,코로나,1
모임,수,1
수,인원,1
수,코로나,1
명부,위드,1
명부,출입,1
명부,코로나,1
금지,벌금,1
2,영업,1
검사,선제,1
스웨덴,코로나,1
울산,코로나,1
19,영업,1
19,제한,1
울산,집합,1
금지,울산,1
규제,코로나,1
거리,제한,1
변경,지침,1
변경,코로나,1
수칙,코로나,1
벌금,집합,1
영업,해제,1
제한,해제,1
밀양,코로나,1
끝,코로나,1
시간제,코로나,1
벌금,코로나,1
강화,조치,1
강화,코로나,1
2,5,1
위드,출입,1
검사,유흥,1
19,칙,1
19,증상,1
진자,현황,1
경기도,금지,1
대구,집합,1
현황,확,1
19,거리,1
19,두기,1
19,세계,1
금지,대구,1
19,백신,1
증상,코로나,1
경기도,코로나,1
19,뜻,1
뜻,코로나,1
19,일본,1
일본,코로나,1
19,제,1
19,치료,1
제,치료,1
제,코로나,1
19,예방,1
경기도,집합,1
제한,출입,1
선제,유흥,1
식당,영업,1
1,기준,1
1,단계,1
1,코로나,1
시간,울산,1
영업,울산,1
식사,제한,1
대전,모임,1
대전,코로나,1
시간,식당,1
식당,제한,1
신종,출입,1
송년회,연말,1
국가,금지,1
국가,출입,1
금지,바이러스,1
금지,신종,1
바이러스,신종,1
바이러스,외부,1
바이러스,출입,1
신종,외부,1
기준,모임,1
교직원,재택근무,1
교사,수도권,1
비용,위드,1
기간,유효,1
유효,코로나,1
사이트,여행,1
사이트,제주,1
11,여행,1
11,제주,1
입국,푸켓,1
검사,비용,1
검사,위드,1
비용,코로나,1
결과,기간,1
검사,병원,1
검사,출국,1
병원,시,1
병원,출국,1
병원,코로나,1
병원,해외,1
시,출국,1
시,해외,1
출국,코로나,1
결과,유효,1
검사,유효,1
공항,시간,1
연장,코로나,1
pcr,증명서,1
보건소,영문,1
보건소,증명서,1
유럽,패키지,1
집합,해제,1
백신,제주도,1
날씨,제주시,1
금지,해제,1
검사,소요,1
결과,소요,1
검사,기간,1
결과,시간,1
연장,집합,1
소요,시간,1
소요,코로나,1
검사,인천공항,1
검사,입국,1
시,인천공항,1
인천공항,입국,1
인천공항,코로나,1
출국,해외,1
공항,제주,1
pcr,보건소,1
보건소,코로나,1
금지,연장,1
제한,집합,1
검사,잠복기,1
잠복기,코로나,1
결과,방법,1
결과,확인,1
방법,확인,1
검사,보건소,1
보건소,제주,1
금지,인원,1
섬,여행,1
세계,여행,1
10,국내,1
10,베스트,1
10,여행지,1
국내,베스트,1
베스트,여행지,1
3,남해,1
위드,할인,1
1,제주,1
섬,제주도,1
제주,차,1
시간,제주,1
맛집,제주,1
검사,시기,1
검사,의무,1
시기,의무,1
시기,제주도,1
의무,제주도,1
의무,코로나,1
도청,제주,1
무료,제주도,1
단체,제주도,1
맛집,함덕,1
여행,차,1
제주,함덕,1
19,제주,1
제주,진자,1
제주,확,1
공항,제주도,1
가능,검사,1
가능,시간,1
4,여행,1
4,제주,1
pcr,영문,1
제주,준비물,1
교사,재택근무,1
강동구,제주,1
제주,카페,1
7,여행,1
7,제주,1
업종,집합,1
금지,업종,1
제주도,행정명령,1
여행사,제주,1
강남,코로나,1
제주도,취소,1
뉴스,속보,1
코로나,호텔,1
뉴스,제주,1
속보,제주,1
8,코로나,1
격리,해외여행,1
자가,코로나,1
자가,해외여행,1
언제,해외여행,1
8,집합,1
