,word1,word2,freq
0,진자,확,4661
1,진자,코로나,4545
2,코로나,확,4541
3,19,코로나,3188
4,코로나,현황,2931
5,단계,코로나,2665
6,거리,두기,2202
7,진자,현황,2031
8,현황,확,2031
9,거리,단계,1196
10,단계,두기,1162
11,19,진자,1135
12,19,확,1135
13,19,현황,1097
14,4,단계,796
15,거리,사회,787
16,두기,사회,780
17,3,단계,675
18,2,단계,615
19,4,코로나,543
20,2,코로나,491
21,거리,코로나,481
22,19,단계,471
23,두기,코로나,458
24,수,코로나,441
25,부산,코로나,438
26,3,코로나,430
27,단계,사회,412
28,수,진자,412
29,수,확,412
30,동선,코로나,383
31,동선,진자,376
32,동선,확,376
33,대구,코로나,340
34,백신,코로나,330
35,4,거리,323
36,4,두기,320
37,사망자,코로나,316
38,위드,코로나,303
39,3,거리,300
40,3,두기,300
41,세계,코로나,286
42,9,코로나,261
43,코로나,한국,246
44,발생,코로나,241
45,9,진자,240
46,9,확,240
47,광주,코로나,233
48,신규,확,233
49,신규,진자,233
50,대전,코로나,231
51,5,단계,230
52,단계,부산,227
53,신규,코로나,225
54,일본,코로나,223
55,10,코로나,216
56,19,거리,215
57,세계,현황,215
58,19,두기,213
59,단계,방역,212
60,10,진자,212
61,10,확,212
62,발생,현황,208
63,5,코로나,208
64,발표,코로나,207
65,바이러스,코로나,205
66,1,단계,203
67,19,발생,201
68,증상,코로나,201
69,백신,접종,201
70,코로나,현재,191
71,접종,코로나,191
72,기준,단계,188
73,2,두기,187
74,2,거리,187
75,인원,코로나,182
76,사망자,현황,177
77,인원,제한,177
78,미국,코로나,176
79,신규,현황,173
80,19,수,173
81,11,코로나,165
82,코로나,확진,164
83,검사,코로나,163
84,방역,코로나,162
85,1,코로나,161
86,기준,코로나,157
87,자수,코로나,156
88,19,신규,153
89,서울,코로나,152
90,사회,코로나,146
91,치료,코로나,146
92,부산,진자,146
93,부산,확,146
94,19,세계,141
95,오늘,진자,139
96,오늘,확,139
97,실시간,코로나,137
98,9,현황,137
99,중국,코로나,137
100,단계,대전,135
101,오늘,코로나,133
102,대구,진자,133
103,시간,영업,133
104,대구,확,133
105,제,치료,132
106,19,백신,131
107,국내,코로나,128
108,백신,현황,128
109,전국,코로나,127
110,모임,인원,126
111,모임,코로나,124
112,시간,코로나,123
113,단계,현재,123
114,자수,확진,120
115,거리,발표,120
116,진자,한국,120
117,두기,발표,120
118,한국,확,120
119,제,코로나,119
120,3,사회,119
121,단계,수도권,116
122,단계,발표,115
123,조치,코로나,115
124,별,코로나,113
125,일본,현황,113
126,1,5,113
127,19,사망자,112
128,단계,조치,111
129,19,동선,111
130,세계,확,111
131,세계,진자,111
132,10,수,108
133,11,확,106
134,11,진자,106
135,실시간,현황,105
136,단계,서울,105
137,두기,연장,104
138,연장,코로나,104
139,2,사회,103
140,바이러스,확,101
141,바이러스,진자,101
142,19,부산,101
143,인천,코로나,100
144,19,일본,99
145,접종,현황,99
146,전세계,코로나,99
147,울산,코로나,98
148,19,실시간,98
149,격상,코로나,97
150,격상,단계,96
151,거리,연장,96
152,오늘,현황,95
153,기준,두기,95
154,19,한국,94
155,거리,기준,93
156,국내,현황,93
157,19,2,91
158,일본,확,91
159,1,거리,91
160,전주,코로나,91
161,일본,진자,91
162,1,두기,91
163,방역,지침,90
164,거리,수도권,89
165,실시간,진자,87
166,두기,수도권,87
167,실시간,확,87
168,19,사회,87
169,19,오늘,86
170,단계,대구,86
171,광역시,광주,86
172,거리,부산,85
173,4,사회,85
174,2,5,85
175,베트남,코로나,84
176,미국,현황,84
177,단계,모임,84
178,국내,확,83
179,19,9,83
180,국내,진자,83
181,광주,단계,83
182,관리,질병,82
183,8,코로나,81
184,19,현재,80
185,미국,확,80
186,미국,진자,80
187,19,4,80
188,기간,코로나,79
189,10,현황,79
190,19,5,79
191,전국,확,78
192,전국,진자,78
193,영국,코로나,77
194,경남,코로나,76
195,모임,사적,76
196,바이러스,현황,75
197,경북,코로나,75
198,단계,지침,75
199,수도권,코로나,74
200,19,접종,74
201,8,확,73
202,3,기준,73
203,8,진자,73
204,부산,현황,72
205,한국,현황,72
206,거리,서울,72
207,5,거리,72
208,19,3,71
209,두기,서울,71
210,지역,코로나,71
211,5,두기,71
212,경기도,코로나,71
